id,type,topic,question_text,model_answer,explanation,created_at,options,pairs,correctAnswerIndex
a17,short-answer,algorithms,"The table `Results` contains the fields `StudentName`, `Subject`, and `Score`.\n\nWrite an SQL statement to show the names of students who scored exactly 100.","SELECT StudentName FROM Results WHERE Score = 100;",,2025-05-08T00:00:00Z,,,
a18,short-answer,algorithms,"A table `Products` has fields `ProductName`, `Category`, and `Price`.\n\nWrite an SQL statement to show all products in the 'Electronics' category that cost less than 50.","SELECT * FROM Products WHERE Category = 'Electronics' AND Price < 50;",,2025-05-08T00:00:00Z,,,
a19,matching,algorithms,"Match each type of test data to its correct description:","A value that is expected and within the valid range\nA value at the edge of the valid range\nA value that is invalid or outside the expected range","These types of test data are used to ensure a program behaves correctly in different input scenarios.",2025-05-08T00:00:00Z,,"{Normal:A value that is expected and within the valid range,Boundary:A value at the edge of the valid range,Erroneous:A value that is invalid or outside the expected range}",
a20,matching,algorithms,"Match each principle of computational thinking to its correct description:","Removing unnecessary detail to focus on what's important\nBreaking a problem down into smaller, manageable parts\nCreating a clear, step-by-step solution to a problem","These principles help programmers solve problems in a logical and structured way.",2025-05-08T00:00:00Z,,"{Abstraction:Removing unnecessary detail to focus on what's important,Decomposition:Breaking a problem down into smaller, manageable parts,Algorithmic thinking:Creating a clear, step-by-step solution to a problem}",
a21,matching,algorithms,"Match each example to the computational thinking principle it demonstrates:","Abstraction\nDecomposition\nAlgorithmic thinking","Each example shows how different computational thinking principles are applied in practice.",2025-05-08T00:00:00Z,,"{Ignoring colour and font to focus on webpage structure:Abstraction,Splitting a game into levels, controls, and scoring systems:Decomposition,Planning the steps a robot must take to cross a maze:Algorithmic thinking}",
a22,short-answer,algorithms,"This code is meant to check if a number is even:\n\nnumber = 6\nif number div 2 == 0:\n    print(\"Even\")\n\nIdentify the logic error and suggest a fix.","The 'div' operator gives the result of division, not the remainder. 'mod' should be used to check even numbers. Fix: 'if number mod 2 == 0:'",,2025-05-08T00:00:00Z,,,
a23,short-answer,algorithms,"The following code is meant to output numbers from 1 to 5:\n\ni = 1\nwhile i < 5:\n    print(i)\n    i = i - 1\n\nExplain the logic error.","The loop decreases i, so it will never reach 5. It creates an infinite loop. Fix: use 'i = i + 1'.",,2025-05-08T00:00:00Z,,,
a24,short-answer,algorithms,"The program is meant to add two numbers entered by the user:\n\na = input(\"Enter first number\")\nb = input(\"Enter second number\")\nprint(a + b)\n\nDescribe the logic error and give a fix.","The inputs are strings, so it concatenates them instead of adding. Fix: convert inputs to integers using 'int()'.",,2025-05-08T00:00:00Z,,,
a25,short-answer,algorithms,"The code below is meant to print \"Correct\" if the user enters the password \"admin\":\n\npassword = input(\"Enter password\")\nif password = \"admin\":\n    print(\"Correct\")\n\nIdentify the error and suggest a fix.","The '=' operator is used instead of '=='. Fix: change to 'if password == \"admin\"'.",,2025-05-08T00:00:00Z,,,
a26,short-answer,algorithms,"This code should output \"Even\" if the number is divisible by 2:\n\nnum = 4\nif num % 2 = 0:\n    print(\"Even\")\n\nIdentify the syntax error and fix it.","'=' is used instead of '=='. Fix: 'if num % 2 == 0:'",,2025-05-08T00:00:00Z,,,
a27,short-answer,algorithms,"The program should print \"Too low\" if the number is less than 5:\n\nnum = 3\nif num > 5:\n    print(\"Too low\")\n\nIdentify the logic error and fix it.","The operator should be '<' not '>'. Fix: 'if num < 5:'",,2025-05-08T00:00:00Z,,, 
